11/7/2019 4:59:27 PM: TBPB2020_Patch1100.exe not run.
2.0.1.8 4/20/2020 10:30:46 PM: TBPB2020_Patch1200.exe not run.
2.0.2.1 5/1/2020 5:25:58 AM: newversion.ini run.
2.0.2.1 5/1/2020 5:27:31 AM: newversion.ini run.
2.0.2.1 5/1/2020 5:30:05 AM: newversion.ini run.
2.0.2.1 5/1/2020 5:31:42 AM: newversion.ini run.
2.0.2.1 5/1/2020 5:39:17 AM: newversion.ini run.
2.0.2.1 5/1/2020 5:42:32 AM: newversion.ini run.
2.0.2.1 5/1/2020 6:00:54 AM: newversion.ini run.
2.0.2.1 5/1/2020 6:01:16 AM: newversion.ini run.
2.0.2.1 5/1/2020 6:01:33 AM: newversion.ini run.
2.0.2.1 5/1/2020 6:03:19 AM: newversion.ini run.
2.0.2.1 5/1/2020 6:03:29 AM: newversion.ini run.
2.0.2.1 5/1/2020 6:05:14 AM: newversion.ini run.
2.0.2.1 5/1/2020 6:06:17 AM: AutogenConfigurationMerger.exe run.
2.0.2.2 5/2/2020 3:42:05 PM: AutogenConfigurationMerger.exe run.
2.0.2.2 5/2/2020 4:00:48 PM: AutogenConfigurationMerger.exe run.
2.0.2.2 5/2/2020 4:01:45 PM: AutogenConfigurationMerger.exe run.
2.0.2.2 5/2/2020 4:03:28 PM: AutogenConfigurationMerger.exe run.
2.0.2.2 5/2/2020 4:06:59 PM: AutogenConfigurationMerger.exe run.
2.0.2.2 5/2/2020 4:11:42 PM: AutogenConfigurationMerger.exe run.
2.0.2.2 5/2/2020 4:27:12 PM: AutogenConfigurationMerger.exe run.
2.0.2.2 5/2/2020 4:30:18 PM: AutogenConfigurationMerger.exe run.
2.0.2.2 5/2/2020 4:37:10 PM: AutogenConfigurationMerger.exe run.
2.0.2.2 5/2/2020 4:40:03 PM: AutogenConfigurationMerger.exe run.
2.0.2.2 5/2/2020 4:41:50 PM: AutogenConfigurationMerger.exe run.
2.0.2.2 5/2/2020 4:42:41 PM: AutogenConfigurationMerger.exe run.
2.0.2.2 5/2/2020 4:43:30 PM: AutogenConfigurationMerger.exe run.
2.0.2.2 5/2/2020 4:43:50 PM: AutogenConfigurationMerger.exe run.
